id;nom;nombre_d_equipes;logo;logo_content_type;niveau;reputation;pays_id
1;gold payment XSS;88325;../fake-data/blob/hipster.png;image/png;16419;79798;1
2;Fish hard Persistent;67727;../fake-data/blob/hipster.png;image/png;21148;13527;2
3;Handmade Wisconsin Mouse;72813;../fake-data/blob/hipster.png;image/png;52086;77431;3
4;firewall granular leverage;37210;../fake-data/blob/hipster.png;image/png;6392;9719;4
5;parsing bus;35745;../fake-data/blob/hipster.png;image/png;54502;38733;5
6;channels explicit;12101;../fake-data/blob/hipster.png;image/png;3191;70552;6
7;sky tertiary end-to-end;18893;../fake-data/blob/hipster.png;image/png;79894;41856;7
8;encoding;43931;../fake-data/blob/hipster.png;image/png;74103;25958;8
9;Lead;59958;../fake-data/blob/hipster.png;image/png;77028;83715;9
10;executive;25954;../fake-data/blob/hipster.png;image/png;2082;21766;10
