id;nom;logo;logo_content_type;ville;balance;masse_salariale;budget_salaires;budget_transferts;infrastructures_entrainement;infrastructures_jeunes;recrutement_jeunes;nom_stade;capacite_stade;prevision_media;indice_continental;competition_continentale;championnat_id
1;Tuna;../fake-data/blob/hipster.png;image/png;Games port;6515;54610;33371;83569;superstructure Baby bypassing;Bedfordshire Generic global;Plastic;Soft Concrete;21336;88592;42568;false;1
2;motivating New;../fake-data/blob/hipster.png;image/png;Account;43622;95427;77071;77235;RAM Aruban;AI;plum orange;Wisconsin alarm schemas;52505;87957;49730;false;2
3;Industrial orange Rustic;../fake-data/blob/hipster.png;image/png;program Washington withdrawal;22849;96843;22603;36327;extensible;Tuna;groupware online hacking;Interface Hat Account;9003;45359;95162;true;3
4;blue;../fake-data/blob/hipster.png;image/png;Metal;4508;81459;32465;31751;Towels e-services bus;wireless digital payment;Outdoors Granite;US;46866;3300;7924;true;4
5;Vermont Naira;../fake-data/blob/hipster.png;image/png;Lakes Plastic Salad;63465;22465;7655;79949;morph Directives;generate;orchid copy 5th;innovative;97645;73635;91551;true;5
6;Producer;../fake-data/blob/hipster.png;image/png;incubate;65074;74100;41176;30935;Sleek white Rapids;Engineer Central Car;Steel;Home Direct Berkshire;602;84309;65144;false;6
7;JSON Creative;../fake-data/blob/hipster.png;image/png;Cambridgeshire Buckinghamshire;34773;17739;20500;40105;quantify;program target Industrial;Salad supply-chains ROI;Sleek;86206;32597;95649;false;7
8;extend;../fake-data/blob/hipster.png;image/png;Identity;36251;50983;50801;33895;Practical;Garden Adaptive Sleek;Loan Mouse Account;Way Markets payment;28397;35255;74340;true;8
9;relationships Corporate;../fake-data/blob/hipster.png;image/png;Peso;82353;96881;5816;51070;haptic;capacitor Cambridgeshire;bandwidth Plastic Generic;Outdoors Soap Bacon;63632;70315;88768;false;9
10;AGP Tools redefine;../fake-data/blob/hipster.png;image/png;Connecticut Buckinghamshire;18849;12634;52206;5831;Incredible Tools;firewall bypass;transmitter matrix;Automotive haptic holistic;3096;55760;68919;true;10
