id;nom;drapeau;drapeau_content_type;confederation;indice_conf;ranking_fifa;annees_avant_nationalite;importance_en_jeu
1;Outdoors Forge;../fake-data/blob/hipster.png;image/png;technologies navigate Metal;54606;30642;65992;16394
2;Reactive;../fake-data/blob/hipster.png;image/png;context-sensitive Borders;67950;92425;66860;71741
3;auxiliary Virginia RSS;../fake-data/blob/hipster.png;image/png;up Practical;95814;67753;96948;26870
4;interfaces Street;../fake-data/blob/hipster.png;image/png;mobile;68572;67146;33441;25285
5;Re-contextualized Nebraska cohesive;../fake-data/blob/hipster.png;image/png;Polarised Chicken needs-based;3495;17914;98386;11991
6;Customer;../fake-data/blob/hipster.png;image/png;fault-tolerant;72278;62994;74357;5987
7;input Wooden;../fake-data/blob/hipster.png;image/png;Organic visionary California;55109;84353;26938;83473
8;Borders;../fake-data/blob/hipster.png;image/png;wireless solution-oriented matrix;97622;33813;98059;68493
9;multi-byte protocol;../fake-data/blob/hipster.png;image/png;Fully-configurable transmitting;10098;20375;39373;10396
10;Handmade Intuitive zero;../fake-data/blob/hipster.png;image/png;Direct Granite;59467;96119;14145;23276
